iter	Logloss
0	0.688426962
1	0.6813960067
2	0.6758596826
3	0.6703251229
4	0.6644582806
5	0.6599655161
6	0.6561512385
7	0.6507374916
8	0.6457727558
9	0.6414975241
10	0.6372202163
11	0.6323001037
12	0.6278790604
13	0.6236208319
14	0.6192083896
15	0.6144248282
16	0.6097247901
17	0.605744428
18	0.6021548013
19	0.5986430891
20	0.5942053819
21	0.5900317541
22	0.586422164
23	0.5826683123
24	0.5787652137
25	0.5756153617
26	0.5724011497
27	0.5699911688
28	0.5661444452
29	0.5624689054
30	0.5586480362
31	0.5556025257
32	0.5522670089
33	0.5492266058
34	0.5461843569
35	0.5416748518
36	0.5388325936
37	0.5360808618
38	0.5340317429
39	0.5319994503
40	0.5287872352
41	0.52568332
42	0.5231237784
43	0.5203181031
44	0.5182213725
45	0.5155966272
46	0.5126199658
47	0.5103535436
48	0.5075403352
49	0.5056403587
50	0.5037283665
51	0.5018497262
52	0.500072465
53	0.4975820299
54	0.4955405899
55	0.4931371752
56	0.4911058584
57	0.4885626868
58	0.486498361
59	0.4846816847
60	0.4837271686
61	0.481320429
62	0.4797389632
63	0.477746988
64	0.4758317357
65	0.4737370454
66	0.4722875215
67	0.4704452765
68	0.4688386251
69	0.4672452072
70	0.465419819
71	0.4637997744
72	0.4624245193
73	0.4616995247
74	0.4601151193
75	0.45916621
76	0.4575690893
77	0.4562501998
78	0.4555986954
79	0.4543500237
80	0.4531800868
81	0.4519398842
82	0.4504308318
83	0.4490095174
84	0.4473529449
85	0.4455720997
86	0.4448922585
87	0.4434410965
88	0.4422784826
89	0.4409896521
90	0.4397546754
91	0.4385998843
92	0.4374083454
93	0.4364076896
94	0.4352708868
95	0.43404105
96	0.4329079325
97	0.4318950314
98	0.4307669551
99	0.4294667644
100	0.4283938252
101	0.4275694789
102	0.4267229652
103	0.4258062321
104	0.4247094996
105	0.4237337303
106	0.4231056767
107	0.421933487
108	0.4214746145
109	0.4205140601
110	0.419618936
111	0.4188195647
112	0.4179062699
113	0.4171784616
114	0.4163332955
115	0.4159169921
116	0.4153488617
117	0.4142879768
118	0.4134936832
119	0.4127111668
120	0.4120314469
121	0.4114867155
122	0.4105777069
123	0.4097778084
124	0.4089769811
125	0.4084359421
126	0.407671365
127	0.4068236355
128	0.4061685574
129	0.4054793023
130	0.4048270414
131	0.4042899363
132	0.4039699845
133	0.40338192
134	0.4024508855
135	0.4019629121
136	0.4012043086
137	0.4008523703
138	0.3999504277
139	0.3996056367
140	0.3989995442
141	0.3984534441
142	0.3980255156
143	0.3972922805
144	0.3966830632
145	0.3962571931
146	0.3957079088
147	0.3952736792
148	0.394718968
149	0.3940045706
150	0.3935370429
151	0.3928922638
152	0.3921926813
153	0.3914961956
154	0.3908810935
155	0.3900722468
156	0.3897345348
157	0.3891190503
158	0.3886240193
159	0.3880597149
160	0.3872345347
161	0.3868073281
162	0.3864068942
163	0.3858545388
164	0.3854666987
165	0.3847749949
166	0.3843951837
167	0.3837834376
168	0.3830334216
169	0.3825625463
170	0.3818950941
171	0.3815593146
172	0.381396468
173	0.3807871904
174	0.3800940279
175	0.3794138041
176	0.3788523334
177	0.3786342875
178	0.3781537319
179	0.3778183986
180	0.3774716278
181	0.3767751143
182	0.376208646
183	0.3756351582
184	0.3752588457
185	0.3748831297
186	0.3745299526
187	0.3739452333
188	0.373650532
189	0.3730367677
190	0.3724779622
191	0.3723262107
192	0.3721094925
193	0.3717323925
194	0.3710920958
195	0.3706849822
196	0.3704882295
197	0.3700076047
198	0.3696126641
199	0.3691874275
200	0.3686155294
201	0.3683316112
202	0.3677889343
203	0.3671297362
204	0.3668465049
205	0.3664961661
206	0.3660170794
207	0.3655296833
208	0.3649483047
209	0.3648834333
210	0.3645431767
211	0.3641514708
212	0.3636878785
213	0.3636172415
214	0.3633299159
215	0.3629282996
216	0.362716866
217	0.3624122836
218	0.3620752343
219	0.3616929483
220	0.3613845898
221	0.3610593207
222	0.3607520752
223	0.3603129258
224	0.360040875
225	0.3594849004
226	0.35928972
227	0.3590407636
228	0.3587997429
229	0.3584438752
230	0.3581345973
231	0.3576142371
232	0.3571744905
233	0.3567063029
234	0.3565237676
235	0.3563187586
236	0.3561145692
237	0.3558898369
238	0.3555814859
239	0.355106407
240	0.3549081442
241	0.354490218
242	0.3538793403
243	0.3536362577
244	0.353387844
245	0.3530241552
246	0.3525820115
247	0.3521936588
248	0.3517848315
249	0.3514761183
250	0.3512612243
251	0.3510572807
252	0.3508028898
253	0.3507044446
254	0.3505474357
255	0.3502383113
