iter	Passed	Remaining
410	12824	18378
411	12854	18345
412	12886	18315
413	12898	18256
414	12933	18232
415	12966	18202
416	12978	18144
417	13006	18109
418	13039	18081
419	13076	18058
420	13115	18037
421	13147	18007
422	13179	17977
423	13209	17944
424	13241	17915
425	13275	17887
426	13309	17859
427	13351	17843
428	13386	17817
429	13420	17789
430	13451	17758
431	13483	17728
432	13514	17696
433	13549	17670
434	13583	17642
435	13614	17611
436	13646	17581
437	13679	17552
438	13713	17524
439	13745	17493
440	13776	17462
441	13805	17428
442	13837	17398
443	13867	17365
444	13879	17310
445	13909	17278
446	13942	17249
447	13974	17219
448	14007	17189
449	14042	17163
450	14075	17133
451	14106	17102
452	14136	17069
453	14171	17043
454	14182	16987
455	14212	16955
456	14243	16923
457	14277	16895
458	14313	16870
459	14331	16823
460	14360	16790
461	14392	16760
462	14427	16733
463	14448	16690
464	14477	16657
465	14511	16628
466	14537	16592
467	14571	16563
468	14603	16534
469	14635	16504
470	14666	16472
471	14676	16417
472	14708	16387
473	14740	16357
474	14771	16326
475	14803	16296
476	14836	16267
477	14867	16236
478	14899	16205
479	14930	16174
480	14959	16141
481	14984	16104
482	15017	16074
483	15051	16046
484	15083	16016
485	15118	15989
486	15130	15937
487	15160	15905
488	15193	15877
489	15226	15848
490	15262	15822
491	15294	15791
492	15324	15759
493	15353	15726
494	15383	15694
495	15419	15668
496	15452	15639
497	15465	15589
498	15480	15543
499	15496	15496
500	15527	15465
501	15560	15436
502	15592	15406
503	15623	15375
504	15653	15343
505	15685	15313
506	15716	15282
507	15746	15250
508	15776	15218
509	15808	15188
510	15839	15157
511	15869	15125
512	15900	15094
513	15913	15046
514	15942	15013
515	15972	14982
516	16004	14951
517	16052	14937
518	16070	14893
519	16100	14861
520	16131	14831
521	16161	14799
522	16192	14768
523	16225	14739
524	16255	14707
525	16281	14671
526	16315	14643
527	16336	14604
528	16365	14571
529	16396	14540
530	16432	14513
531	16464	14483
532	16496	14453
533	16528	14423
534	16561	14394
535	16602	14372
536	16634	14341
537	16666	14311
538	16698	14281
539	16729	14250
540	16761	14221
541	16777	14177
542	16808	14146
543	16839	14115
544	16864	14079
545	16880	14036
546	16894	13991
547	16924	13959
548	16955	13928
549	16986	13897
550	17018	13868
551	17051	13839
552	17085	13810
553	17116	13779
554	17146	13748
555	17163	13706
556	17192	13673
557	17224	13643
558	17256	13614
559	17287	13583
560	17318	13551
561	17350	13521
562	17363	13477
563	17378	13434
564	17410	13404
565	17441	13373
566	17470	13342
567	17503	13312
568	17537	13284
569	17568	13253
570	17599	13222
571	17631	13192
572	17662	13162
573	17697	13134
574	17729	13104
575	17760	13073
576	17789	13041
577	17812	13004
578	17841	12972
579	17873	12942
580	17903	12911
581	17936	12881
582	17967	12851
583	17999	12821
584	18034	12793
585	18067	12764
586	18098	12733
587	18129	12702
588	18160	12672
589	18192	12642
590	18224	12612
591	18258	12583
592	18288	12552
593	18321	12522
594	18351	12491
595	18382	12460
596	18413	12429
597	18447	12401
598	18481	12372
599	18513	12342
600	18545	12312
601	18577	12281
602	18609	12252
603	18634	12217
604	18667	12187
605	18690	12152
606	18723	12122
607	18734	12078
608	18763	12047
609	18802	12021
610	18832	11989
611	18861	11957
612	18891	11926
613	18921	11895
614	18953	11865
615	18983	11834
616	19016	11804
617	19050	11775
618	19062	11733
619	19092	11702
620	19125	11672
621	19155	11641
622	19184	11609
623	19217	11579
624	19248	11549
625	19279	11518
626	19314	11489
627	19344	11458
628	19374	11427
629	19407	11398
630	19438	11367
631	19470	11337
632	19500	11306
633	19539	11280
634	19570	11249
635	19583	11208
636	19603	11171
637	19633	11139
638	19664	11109
639	19696	11079
640	19727	11048
641	19759	11018
642	19791	10988
643	19822	10957
644	19853	10927
645	19884	10896
646	19916	10866
647	19946	10834
648	19975	10803
649	20008	10773
650	20041	10744
651	20076	10715
652	20108	10685
653	20139	10654
654	20170	10624
655	20202	10594
656	20232	10562
657	20261	10531
658	20290	10499
659	20321	10468
660	20351	10437
661	20380	10405
662	20414	10376
663	20444	10345
664	20483	10318
665	20515	10288
666	20548	10258
667	20578	10227
668	20613	10199
669	20645	10168
670	20675	10137
671	20708	10107
672	20742	10078
673	20771	10046
674	20806	10018
675	20839	9988
676	20871	9957
677	20902	9927
678	20933	9896
679	20964	9865
680	20996	9835
681	21030	9806
682	21063	9776
683	21094	9745
684	21125	9714
685	21158	9684
686	21191	9654
687	21224	9625
688	21258	9595
689	21289	9565
690	21320	9534
691	21346	9500
692	21374	9469
693	21406	9438
694	21439	9408
695	21470	9378
696	21496	9345
697	21527	9314
698	21552	9280
699	21584	9250
700	21600	9213
701	21631	9182
702	21667	9153
703	21701	9124
704	21712	9085
705	21743	9054
706	21779	9025
707	21811	8995
708	21843	8965
709	21874	8934
710	21907	8904
711	21939	8874
712	21971	8843
713	22006	8814
714	22039	8785
715	22071	8754
716	22104	8724
717	22133	8693
718	22163	8661
719	22196	8632
720	22227	8601
721	22262	8571
722	22294	8541
723	22326	8511
724	22355	8479
725	22387	8449
726	22418	8418
727	22449	8387
728	22480	8356
729	22513	8327
730	22550	8298
731	22581	8267
732	22611	8236
733	22644	8206
734	22676	8175
735	22706	8144
736	22740	8115
737	22769	8083
738	22801	8053
739	22848	8027
740	22880	7997
741	22910	7966
742	22942	7935
743	22954	7898
744	22986	7867
745	23020	7837
746	23052	7807
747	23084	7777
748	23116	7746
749	23146	7715
750	23179	7685
751	23209	7654
752	23244	7624
753	23285	7597
754	23320	7567
755	23351	7536
756	23382	7506
757	23413	7474
758	23425	7438
759	23456	7407
760	23488	7376
761	23523	7347
762	23554	7316
763	23584	7285
764	23617	7254
765	23648	7224
766	23678	7193
767	23713	7163
768	23743	7132
769	23773	7101
770	23803	7070
771	23827	7037
772	23873	7010
773	23905	6980
774	23939	6950
775	23971	6919
776	24003	6888
777	24037	6858
778	24072	6829
779	24103	6798
780	24134	6767
781	24163	6736
782	24194	6705
783	24205	6668
784	24240	6639
785	24255	6604
786	24285	6572
787	24297	6536
788	24325	6505
789	24356	6474
790	24388	6443
791	24420	6413
792	24451	6382
793	24486	6352
794	24521	6323
795	24553	6292
796	24587	6262
797	24618	6231
798	24650	6201
799	24686	6171
800	24724	6142
801	24748	6110
802	24781	6079
803	24806	6047
804	24837	6016
805	24870	5986
806	24902	5955
807	24936	5925
808	24968	5894
809	25002	5864
810	25040	5835
811	25071	5804
812	25103	5774
813	25134	5743
814	25165	5712
815	25181	5678
816	25212	5647
817	25243	5616
818	25272	5585
819	25305	5554
820	25336	5524
821	25367	5493
822	25399	5462
823	25430	5431
824	25462	5401
825	25493	5370
826	25517	5337
827	25546	5306
828	25578	5276
829	25608	5245
830	25640	5214
831	25671	5183
832	25702	5152
833	25729	5121
834	25759	5090
835	25792	5059
836	25829	5030
837	25860	4999
838	25890	4968
839	25935	4940
840	25964	4908
841	26000	4878
842	26033	4848
843	26066	4818
844	26097	4787
845	26128	4756
846	26160	4725
847	26191	4694
848	26213	4662
849	26246	4631
850	26277	4600
851	26307	4569
852	26336	4538
853	26366	4507
854	26397	4476
855	26428	4445
856	26461	4415
857	26492	4384
858	26526	4354
859	26559	4323
860	26590	4292
861	26622	4262
862	26654	4231
863	26686	4200
864	26718	4169
865	26752	4139
866	26785	4108
867	26817	4078
868	26851	4047
869	26883	4017
870	26915	3986
871	26945	3955
872	26977	3924
873	27010	3894
874	27042	3863
875	27076	3832
876	27116	3803
877	27146	3772
878	27177	3741
879	27208	3710
880	27240	3679
881	27270	3648
882	27302	3617
883	27332	3586
884	27361	3555
885	27393	3524
886	27424	3493
887	27457	3463
888	27488	3432
889	27519	3401
890	27552	3370
891	27583	3339
892	27619	3309
893	27650	3278
894	27681	3247
895	27711	3216
896	27745	3185
897	27776	3155
898	27807	3124
899	27839	3093
900	27870	3062
901	27901	3031
902	27932	3000
903	27964	2969
904	27998	2939
905	28029	2908
906	28059	2877
907	28091	2846
908	28122	2815
909	28154	2784
910	28184	2753
911	28215	2722
912	28248	2691
913	28279	2660
914	28316	2630
915	28346	2599
916	28378	2568
917	28410	2537
918	28438	2506
919	28488	2477
920	28533	2447
921	28566	2416
922	28596	2385
923	28630	2354
924	28663	2324
925	28696	2293
926	28728	2262
927	28760	2231
928	28791	2200
929	28822	2169
930	28851	2138
931	28882	2107
932	28922	2076
933	28953	2045
934	28986	2015
935	29018	1984
936	29053	1953
937	29085	1922
938	29114	1891
939	29143	1860
940	29174	1829
941	29207	1798
942	29242	1767
943	29272	1736
944	29302	1705
945	29331	1674
946	29364	1643
947	29395	1612
948	29425	1581
949	29459	1550
950	29493	1519
951	29525	1488
952	29558	1457
953	29589	1426
954	29620	1395
955	29650	1364
956	29690	1334
957	29737	1303
958	29772	1272
959	29803	1241
960	29834	1210
961	29866	1179
962	29904	1148
963	29936	1117
964	29968	1086
965	30004	1056
966	30035	1024
967	30067	993
968	30105	963
969	30135	932
970	30175	901
971	30211	870
972	30245	839
973	30277	808
974	30310	777
975	30343	746
976	30373	715
977	30406	683
978	30437	652
979	30468	621
980	30501	590
981	30536	559
982	30567	528
983	30597	497
984	30628	466
985	30662	435
986	30694	404
987	30726	373
988	30760	342
989	30808	311
990	30839	280
991	30870	248
992	30901	217
993	30932	186
994	30965	155
995	30999	124
996	31029	93
997	31062	62
998	31093	31
999	31122	0
